Level;Density
1527;0.3910
1563;0.3960
1564;0.3960
1567;0.3920
1572;0.3930
1576;0.3940
1581;0.3930
1584;0.3890
1587;0.3910
1588;0.3950
1595;0.3960
1606;0.3970
1610;0.3990
1654;0.3990
1719;0.3920
1726;0.4020
1730;0.4010
1742;0.3950
1748;0.3910
1756;0.3990
1770;0.3990
1808;0.3940
1826;0.3990
1828;0.3970
1828;0.3980
1829;0.3990
1832;0.4000
1845;0.4000
1901;0.4070
1968;0.4040
1994;0.4010
1995;0.3900
2005;0.4090
2026;0.4030
2031;0.4060
2045;0.4110
2059;0.4100
2064;0.4100
2093;0.4110
2101;0.4100
2117;0.4100
2160;0.4020
2264;0.4020
2265;0.4080
2274;0.4160
2419;0.4200
2448;0.4110
2553;0.4190
2574;0.4110
2632;0.4190
2632;0.4158
2655;0.4150
2659;0.4170
2701;0.4210
2703;0.4200
2716;0.4190
2718;0.4130
2723;0.4210
2735;0.4140
2804;0.4210
2956;0.4220
2995;0.4190
2996;0.4280
3068;0.4220
3161;0.4240
3322;0.4310
3356;0.4300
3364;0.4310
3547;0.4260
3680;0.4280
3702;0.4310
3712;0.4310
3721;0.4330
3797;0.4300
3821;0.4360
3825;0.4300
3830;0.4350
3831;0.4340
3833;0.4360
3838;0.4270
3839;0.4280
3855;0.4280
3859;0.4340
3923;0.4310
3977;0.4380
4029;0.4380
4052;0.4330
4165;0.4320
4284;0.4350
4321;0.4380
4407;0.4400
4527;0.4330
4617;0.4360
4772;0.4410
4774;0.4420
4789;0.4440
4922;0.4430
4977;0.4420
5017;0.4420
5162;0.4440
5314;0.4400
5329;0.4440
5483;0.4400
5544;0.4470
5637;0.4440
5749;0.4520
5830;0.4500
5844;0.4410
6037;0.4470
6042;0.4470
6097;0.4490
6122;0.4440
6128;0.4510
6156;0.4420
6225;0.4470
6254;0.4430
6277;0.4390
6281;0.4510
6378;0.4460
6512;0.4460
6536;0.4500
6614;0.4480
6660;0.4540
6770;0.4490
6836;0.4520
6864;0.4530
6925;0.4500
6942;0.4490
6945;0.4500
6950;0.4470
6951;0.4510
6953;0.4450
6956;0.4480
7059;0.4530
7084;0.4480
7098;0.4530
7179;0.4530
7179;0.4520
7185;0.4490
7229;0.4530
7298;0.4500
7402;0.4550
7505;0.4560
7522;0.4540
7673;0.4540
7805;0.4530
7904;0.4500
7954;0.4540
8022;0.4540
8109;0.4510
8334;0.4590
8343;0.4580
8462;0.4550
8606;0.4550
8631;0.4560
8637;0.4580
8654;0.4550
8659;0.4580
8681;0.4540
8682;0.4580
8684;0.4550
8712;0.4530
8717;0.4550
8739;0.4530
8766;0.4540
8812;0.4530
8831;0.4560
8905;0.4560
9251;0.4580
9274;0.4590
9455;0.4500
9469;0.4590
9633;0.4580
9649;0.4600
9692;0.4610
9922;0.4600
9979;0.4550
9987;0.4630
9989;0.4610
9989;0.4620
10001;0.4630
10002;0.4630
10007;0.4620
10009;0.4620
10093;0.4600
10114;0.4530
10135;0.4600
10337;0.4630
10407;0.4580
10420;0.4640
10489;0.4550
10593;0.4590
10693;0.4640
10822;0.4620
10843;0.4600
10973;0.4580
11007;0.4620
11052;0.4590
11156;0.4600
11280;0.4660
11421;0.4620
11428;0.4610
11512;0.4620
11559;0.4570
11816;0.4620
11929;0.4610
12089;0.4610
12092;0.4610
12099;0.4630
12116;0.4620
12123;0.4630
12164;0.4580
12185;0.4620
12273;0.4580
12315;0.4600
12383;0.4570
12559;0.4640
12564;0.4620
12640;0.4590
12660;0.4620
12692;0.4590
12730;0.4610
12803;0.4590
12818;0.4560
12858;0.4590
12911;0.4560
12967;0.4660
13010;0.4600
13462;0.4640
13471;0.4660
13642;0.4640
14032;0.4660
14054;0.4720
14056;0.4650
14061;0.4640
14062;0.4630
14070;0.4650
14080;0.4720
14090;0.4730
14112;0.4630
14113;0.4650
14121;0.4700
14122;0.4640
14134;0.4630
14149;0.4700
14154;0.4710
14166;0.4640
14185;0.4680
14198;0.4630
14203;0.4680
14205;0.4690
14224;0.4660
14248;0.4660
14249;0.4660
14261;0.4640
14268;0.4630
14268;0.4620
14271;0.4630
14276;0.4610
14278;0.4630
14291;0.4630
14334;0.4620
14338;0.4630
14345;0.4620
14345;0.4640
14345;0.4570
14347;0.4650
14350;0.4660
14408;0.4670
14434;0.4650
14458;0.4670
14459;0.4610
14471;0.4620
14472;0.4630
14482;0.4620
14483;0.4630
14487;0.4680
14492;0.4610
14494;0.4610
14494;0.4620
14498;0.4610
14499;0.4610
14500;0.4620
14503;0.4600
14509;0.4650
14512;0.4630
14516;0.4610
14574;0.4670
14578;0.4640
14585;0.4610
14595;0.4660
14597;0.4600
14600;0.4610
14619;0.4630
14625;0.4650
14644;0.4620
14652;0.4650
14654;0.4640
14682;0.4620
14693;0.4610
14693;0.4610
14697;0.4700
14711;0.4610
14756;0.4640
14764;0.4620
14769;0.4590
14775;0.4660
14777;0.4600
14789;0.4650
14803;0.4630
14808;0.4610
14877;0.4590
